Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
3351.530646,32,7,1,0.037,0.000,0,0,0,0,0.037,0.010,1020,0,10,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3517.963567,32,9,1,0.017,0.000,0,0,0,0,0.017,0.005,510,0,5,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3622.288166,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
3741.946295,32,31,1,0.100,0.000,0,0,0,0,0.100,0.025,2550,0,25,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
3920.19776,32,31,1,0.124,0.000,0,0,0,0,0.124,0.031,3162,0,31,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4018.908301,32,7,1,0.062,0.000,0,0,0,0,0.062,0.016,1632,0,16,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4158.999166,32,99,1,0.009,0.000,0,0,0,0,0.009,0.003,291,0,3,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4159.116171,32,99,1,0.113,0.000,0,0,0,0,0.113,0.027,2619,0,27,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4175.130955,32,6,1,0.091,0.000,0,0,0,0,0.091,0.023,2346,0,23,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4238.212591,32,9,1,0.079,0.000,0,0,0,0,0.079,0.020,2040,0,20,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4248.452229,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4377.446081,32,31,1,0.054,0.000,0,0,0,0,0.054,0.014,1428,0,14,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4655.965521,32,9,1,0.050,0.000,0,0,0,0,0.050,0.013,1326,0,13,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4754.589087,32,9,1,0.025,0.000,0,0,0,0,0.025,0.007,714,0,7,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4808.858478,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4905.585041,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4968.194342,32,31,1,0.066,0.000,0,0,0,0,0.066,0.017,1734,0,17,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5079.821781,32,31,1,0.108,0.000,0,0,0,0,0.108,0.027,2754,0,27,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5192.936483,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5221.283301,32,7,1,0.062,0.000,0,0,0,0,0.062,0.016,1632,0,16,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5304.534033,32,7,1,0.008,0.000,0,0,0,0,0.008,0.003,306,0,3,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
5404.588812,32,9,1,0.087,0.000,0,0,0,0,0.087,0.022,2244,0,22,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
